order_id,price,discount_rate,total_amount,notes
ORD0000001,TBD,10.2,11471.44,빠른배송
ORD0000002,N/A,44.3,12029.22,카드결제
ORD0000003,CONTACT,44.2,7980.71,빠른배송
ORD0000004,PENDING,12.2,3692.77,정상주문
ORD0000005,FREE,46.8,7964.37,카드결제
ORD0000006,CONTACT,5.2,14927.87,정상주문
ORD0000007,TBD,20.4,1884.17,선물포장
ORD0000008,PENDING,39.6,3163.81,카드결제
ORD0000009,CONTACT,48.3,7369.87,선물포장
ORD0000010,PENDING,1.9,1033.50,카드결제
ORD0000011,PENDING,17.8,6562.63,선물포장
ORD0000012,ERROR,16.4,12296.30,정상주문
ORD0000013,TBD,11.7,961.59,빠른배송
ORD0000014,ERROR,20.8,4316.57,선물포장
ORD0000015,ERROR,37.3,13157.34,정상주문
ORD0000016,N/A,15.6,1300.40,정상주문
ORD0000017,CONTACT,14.3,5708.41,선물포장
ORD0000018,ERROR,29.4,7873.19,빠른배송
ORD0000019,TBD,42.1,9685.78,빠른배송
ORD0000020,TBD,5.0,1154.71,배송전연락
ORD0000021,N/A,15.5,8859.03,정상주문
ORD0000022,TBD,33.7,5768.86,배송전연락
ORD0000023,N/A,36.3,10561.03,배송전연락
ORD0000024,CONTACT,36.6,12496.96,배송전연락
ORD0000025,PENDING,24.1,3277.83,배송전연락
ORD0000026,ERROR,10.1,10448.54,배송전연락
ORD0000027,FREE,21.1,8712.61,배송전연락
ORD0000028,ERROR,41.2,3176.49,빠른배송
ORD0000029,N/A,1.4,14404.80,선물포장
ORD0000030,TBD,30.8,7893.28,선물포장
ORD0000031,CONTACT,41.6,9074.89,카드결제
ORD0000032,PENDING,32.1,14374.08,카드결제
ORD0000033,ERROR,3.9,8344.58,카드결제
ORD0000034,PENDING,10.7,5007.14,빠른배송
ORD0000035,PENDING,23.7,6869.90,카드결제
ORD0000036,N/A,44.8,3836.25,배송전연락
ORD0000037,CONTACT,9.3,8497.89,카드결제
ORD0000038,N/A,38.5,5143.30,정상주문
ORD0000039,ERROR,6.5,13498.30,정상주문
ORD0000040,CONTACT,1.7,9212.92,빠른배송
ORD0000041,TBD,46.9,690.23,빠른배송
ORD0000042,ERROR,44.7,12581.33,정상주문
ORD0000043,N/A,12.1,2326.15,카드결제
ORD0000044,N/A,34.5,10317.19,카드결제
ORD0000045,CONTACT,4.1,14407.02,빠른배송
ORD0000046,FREE,32.8,7900.60,정상주문
ORD0000047,N/A,44.9,9131.60,카드결제
ORD0000048,FREE,1.5,10016.25,배송전연락
ORD0000049,FREE,45.2,12873.89,배송전연락
ORD0000050,8485.61,21.0,9614.76,정상주문
ORD0000051,894.40,11.8,13731.64,배송전연락
ORD0000052,3808.31,31.8,5047.69,선물포장
ORD0000053,2764.26,7.5,2747.70,카드결제
ORD0000054,7468.54,0.1,2075.95,카드결제
ORD0000055,8485.70,45.6,9425.47,선물포장
ORD0000056,9668.83,22.2,3020.26,정상주문
ORD0000057,1159.97,23.9,9304.48,빠른배송
ORD0000058,4730.99,38.8,8991.58,빠른배송
ORD0000059,205.41,13.9,6159.53,정상주문
ORD0000060,808.15,15.4,446.44,빠른배송
ORD0000061,9665.26,11.8,5356.60,선물포장
ORD0000062,2557.18,5.7,12677.86,정상주문
ORD0000063,6397.83,43.3,14991.63,선물포장
ORD0000064,5689.29,45.1,198.52,선물포장
ORD0000065,9852.17,49.8,14795.92,카드결제
ORD0000066,7006.73,26.3,8690.06,선물포장
ORD0000067,7484.88,36.3,9055.48,선물포장
ORD0000068,5128.18,23.5,7177.97,카드결제
ORD0000069,817.71,37.4,6935.56,카드결제
ORD0000070,6608.57,29.6,6456.35,정상주문
ORD0000071,6321.76,27.6,13288.81,정상주문
ORD0000072,1238.12,12.8,11147.61,카드결제
ORD0000073,1838.38,36.7,3379.03,빠른배송
ORD0000074,1320.27,50.0,8820.31,선물포장
ORD0000075,9525.37,36.9,14738.77,빠른배송
ORD0000076,5657.32,44.0,5663.12,정상주문
ORD0000077,3205.95,9.5,710.56,빠른배송
ORD0000078,1050.39,44.5,4389.90,선물포장
ORD0000079,7542.23,47.5,7627.42,정상주문
ORD0000080,4584.14,44.7,10195.38,정상주문
ORD0000081,5119.77,2.2,3464.39,선물포장
ORD0000082,9277.77,9.2,5997.27,빠른배송
ORD0000083,1824.23,14.1,4882.84,선물포장
ORD0000084,8250.29,30.1,212.89,배송전연락
ORD0000085,9891.27,24.5,10168.06,카드결제
ORD0000086,1902.76,10.9,2863.61,카드결제
ORD0000087,6414.26,28.0,12138.55,카드결제
ORD0000088,3704.33,22.4,622.19,정상주문
ORD0000089,3377.38,31.4,14792.04,선물포장
ORD0000090,3140.53,30.0,14927.59,빠른배송
ORD0000091,7759.64,36.9,14473.30,정상주문
ORD0000092,7363.79,4.9,12263.24,선물포장
ORD0000093,1832.49,10.4,4085.52,정상주문
ORD0000094,7977.96,47.0,565.44,빠른배송
ORD0000095,8587.36,45.4,9893.62,카드결제
ORD0000096,535.20,44.7,8372.27,선물포장
ORD0000097,6190.49,29.6,6564.30,배송전연락
ORD0000098,1741.69,8.9,12962.06,정상주문
ORD0000099,9299.88,45.7,7351.45,카드결제
ORD0000100,3595.38,3.4,5269.72,선물포장
ORD0000101,1623.68,33.5,13199.20,배송전연락
ORD0000102,448.30,17.6,6240.20,빠른배송
ORD0000103,2286.94,41.0,9367.29,배송전연락
ORD0000104,6837.64,33.2,4761.02,정상주문
ORD0000105,7510.91,29.4,10959.86,카드결제
ORD0000106,7597.91,12.7,6819.87,정상주문
ORD0000107,6186.28,28.9,6401.64,빠른배송
ORD0000108,5283.73,1.2,5186.97,정상주문
ORD0000109,6535.24,17.5,2646.77,정상주문
ORD0000110,6137.17,0.3,13019.42,카드결제
ORD0000111,469.56,16.8,5847.16,정상주문
ORD0000112,4668.56,45.8,13302.83,선물포장
ORD0000113,1650.71,26.3,8668.43,빠른배송
ORD0000114,3936.93,37.0,9570.89,선물포장
ORD0000115,7235.86,3.7,12186.59,빠른배송
ORD0000116,2622.54,46.1,6786.48,정상주문
ORD0000117,8980.93,48.9,10453.75,카드결제
ORD0000118,9607.24,22.6,6865.05,카드결제
ORD0000119,4255.09,17.1,1260.19,정상주문
ORD0000120,3963.17,26.5,7995.29,배송전연락
ORD0000121,7640.31,44.7,6086.28,빠른배송
ORD0000122,8645.52,26.7,3057.35,카드결제
ORD0000123,9399.34,30.5,4953.33,카드결제
ORD0000124,8732.75,33.4,5532.78,배송전연락
ORD0000125,9398.82,47.2,13807.38,카드결제
ORD0000126,6599.50,4.1,3821.34,빠른배송
ORD0000127,4887.03,6.3,8503.38,선물포장
ORD0000128,3493.70,0.7,4608.14,정상주문
ORD0000129,570.19,32.6,6748.84,빠른배송
ORD0000130,1729.96,28.8,1215.86,빠른배송
ORD0000131,4136.67,22.9,13848.01,카드결제
ORD0000132,6341.81,13.6,11336.27,선물포장
ORD0000133,3812.17,18.6,2207.17,선물포장
