inputs,outputs
0.2362,0.162367029
0.9415,0.479356336
0.3495,0.095733242
0.32,-0.111782864
0.8335,0.386011762
0.6388,-0.025967681
0.3547,-0.112213448
0.08,-0.01354877
0.6809,0.201888767
0.6854,0.187492274
0.6944,0.09648161
0.2493,-0.194607166
0.1859,0.00787505
0.1636,-0.062906638
0.4724,0.084571434
0.3074,-0.024112254
0.2779,0.065183312
0.1364,0.161756353
0.5503,0.059519627
0.5083,-0.009312345
0.1131,-0.210353101
0.3266,-0.105874751
0.6624,0.154169141
0.3628,-0.123422441
0.4744,0.001051684
0.3927,-0.023763067
0.6605,-0.027269704
0.1884,-0.005823197
0.1657,0.045531733
0.6047,0.008692671
0.9721,0.330334418
0.1989,-0.021595543
0.9105,0.500131676
0.7977,0.280064558
0.392,-0.025028579
0.6607,0.032878809
0.3392,-0.003890676
0.7747,0.173319422
0.6385,0.196596425
0.4785,0.069343469
0.0366,0.042806089
0.9449,0.418836443
0.3171,-0.044881235
0.1326,-0.198590186
0.0167,0.006608791
0.7104,0.069523541
0.8807,0.322862089
0.7547,0.067736776
0.5402,0.04037261
0.8392,0.221001432
0.39,-0.266375596
0.6533,0.1181476
0.7342,0.085663083
0.0426,0.043794589
0.5501,-0.01819189
0.5838,-0.108002833
0.1945,-0.063561535
0.0967,0.04450095
0.7655,0.248543945
0.5895,0.128235728
0.233,-0.242052056
0.019,-0.046314396
0.2292,-0.120052646
0.7166,0.183616484
0.0211,0.079012628
0.781,0.08110884
0.9043,0.297633231
0.9857,0.796790472
0.9225,0.450878294
0.857,0.283468684
0.0461,0.05308466
0.6392,0.05061645
0.7394,0.229388944
0.0119,0.065997406
0.1399,-0.116467335
0.3842,-0.000818185
0.2401,-0.111231199
0.5147,-0.180449044
0.0886,-0.10931041
0.4599,-0.156612321
0.0932,0.031255335
0.3329,0.015187259
0.929,0.332133699
0.0853,0.07136136
0.1009,-0.101107003
0.5233,-0.030408852
0.8352,0.248081871
0.2384,-0.135577496
0.1194,-0.160431788
0.1797,-0.093485962
0.8675,0.287334882
0.0839,0.024764
0.2533,-0.05771592
0.8147,0.159630523
0.4461,-0.003033265
0.4375,-0.10769857
0.7254,0.199291981
0.6733,0.078864721
0.1441,-0.120234176
0.7696,0.176995818
0.0578,-0.073890979
0.5216,-0.018822399
0.1422,-0.070118948
0.0387,0.036650956
0.0873,0.012597536
0.431,-0.00526137
0.628,0.078152149
0.3786,-0.083590796
0.2383,-0.220476206
0.2356,-0.077729889
0.9957,0.750855574
0.5086,-0.000300531
0.5146,0.044759786
0.8376,0.146585521
0.7942,0.216924649
0.8708,0.410689648
0.8179,0.290561406
0.7013,0.14272987
0.2056,0.164436114
0.9853,0.556662848
0.629,-0.110704313
0.9247,0.348848348
0.0301,0.153462091
0.7544,0.022955984
0.6723,0.047108689
0.3543,-0.038412989
0.3047,-0.267651205
0.4776,-0.038173153
0.3255,-0.093056908
0.3364,-0.146467789
0.7688,0.219495821
0.7969,0.28205672
0.13,0.087776189
0.7174,0.028128529
0.594,-0.042180652
0.4333,-0.023357243
0.7933,0.168271114
0.8221,0.244640793
0.9621,0.604185369
0.9111,0.26348307
0.1027,-0.135405308
0.738,0.135558861
0.5293,0.009884518
0.3541,-0.019441376
0.918,0.388381407
0.6772,0.030580473
0.0591,-0.113725244
0.4204,-0.161605401
0.4621,0.003158229
0.487,0.039653688
0.5875,0.096748083
0.5384,0.032862123
0.4266,-0.165690688
0.7832,0.165683343
0.6363,0.167650234
0.3316,0.015701914
0.1079,0.153949026
0.1283,0.049682336
0.0053,0.026628158
0.2358,-0.162709023
0.3856,-0.129334239
0.1603,0.032440708
0.513,0.201949098
0.0746,-0.202261268
0.0618,-0.06142441
0.9877,0.519080914
0.1974,-0.011738924
0.406,-0.172608568
0.595,-0.155334125
